id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
145,2026-03-05,5,17:00:00,15:00:00,Blue,W 63kg H,2026 VIRUS Weightlifting Series 1
146,2026-03-05,5,17:00:00,15:00:00,Stars,W 53kg A,2026 VIRUS Weightlifting Series 1
147,2026-03-05,5,17:00:00,15:00:00,Stripes,M 71kg C,2026 VIRUS Weightlifting Series 1
148,2026-03-05,6,19:00:00,17:00:00,Red,M 79kg G,2026 VIRUS Weightlifting Series 1
149,2026-03-05,6,19:00:00,17:00:00,White,W 58kg G,2026 VIRUS Weightlifting Series 1
150,2026-03-05,6,19:00:00,17:00:00,Blue,W 63kg G,2026 VIRUS Weightlifting Series 1
151,2026-03-05,6,19:00:00,17:00:00,Stars,M 65kg A,2026 VIRUS Weightlifting Series 1
152,2026-03-05,6,19:00:00,17:00:00,Stripes,M 71kg B,2026 VIRUS Weightlifting Series 1
153,2026-03-06,7,09:00:00,07:00:00,Red,W 58kg F,2026 VIRUS Weightlifting Series 1
154,2026-03-06,7,09:00:00,07:00:00,White,W 63kg F,2026 VIRUS Weightlifting Series 1
155,2026-03-06,7,09:00:00,07:00:00,Blue,W 63+kg + 69kg L,2026 VIRUS Weightlifting Series 1
156,2026-03-06,7,09:00:00,07:00:00,Stars,M 79kg F,2026 VIRUS Weightlifting Series 1
157,2026-03-06,7,09:00:00,07:00:00,Stripes,M 79+kg + 88kg L,2026 VIRUS Weightlifting Series 1
158,2026-03-06,8,11:00:00,09:00:00,Red,W 58kg E,2026 VIRUS Weightlifting Series 1
159,2026-03-06,8,11:00:00,09:00:00,White,W 63kg E,2026 VIRUS Weightlifting Series 1
160,2026-03-06,8,11:00:00,09:00:00,Blue,W 63+kg + 69kg K,2026 VIRUS Weightlifting Series 1
161,2026-03-06,8,11:00:00,09:00:00,Stars,M 79kg E,2026 VIRUS Weightlifting Series 1
162,2026-03-06,8,11:00:00,09:00:00,Stripes,M 79+kg + 88kg K,2026 VIRUS Weightlifting Series 1
163,2026-03-06,9,12:30:00,10:30:00,Rogue,Mens Rogue,2026 VIRUS Weightlifting Series 1
164,2026-03-06,9,13:00:00,11:00:00,Red,W 58kg D,2026 VIRUS Weightlifting Series 1
165,2026-03-06,9,13:00:00,11:00:00,White,W 63kg D,2026 VIRUS Weightlifting Series 1
166,2026-03-06,9,13:00:00,11:00:00,Blue,M 71kg A,2026 VIRUS Weightlifting Series 1
167,2026-03-06,9,13:00:00,11:00:00,Stars,M 79kg D,2026 VIRUS Weightlifting Series 1
168,2026-03-06,9,13:00:00,11:00:00,Stripes,M 88kg J,2026 VIRUS Weightlifting Series 1
169,2026-03-06,10,14:50:00,12:50:00,Rogue,Womens Rogue,2026 VIRUS Weightlifting Series 1
170,2026-03-06,10,15:00:00,13:00:00,Red,W 58kg C,2026 VIRUS Weightlifting Series 1
171,2026-03-06,10,15:00:00,13:00:00,White,W 63kg C,2026 VIRUS Weightlifting Series 1
172,2026-03-06,10,15:00:00,13:00:00,Blue,W 69kg J,2026 VIRUS Weightlifting Series 1
173,2026-03-06,10,15:00:00,13:00:00,Stars,M 79kg C,2026 VIRUS Weightlifting Series 1
174,2026-03-06,10,15:00:00,13:00:00,Stripes,M 88kg I,2026 VIRUS Weightlifting Series 1
175,2026-03-06,11,17:00:00,15:00:00,Red,W 58kg B,2026 VIRUS Weightlifting Series 1
176,2026-03-06,11,17:00:00,15:00:00,White,W 63kg B,2026 VIRUS Weightlifting Series 1
177,2026-03-06,11,17:00:00,15:00:00,Blue,W 69kg I,2026 VIRUS Weightlifting Series 1
178,2026-03-06,11,17:00:00,15:00:00,Stars,M 79kg B,2026 VIRUS Weightlifting Series 1
179,2026-03-06,11,17:00:00,15:00:00,Stripes,M 88kg H,2026 VIRUS Weightlifting Series 1
180,2026-03-06,12,19:00:00,17:00:00,Red,W 58kg A,2026 VIRUS Weightlifting Series 1
